Epoch,Step,Train Loss,Val Loss
1,0,9.875,9.769
1,5,8.544,8.439
1,10,7.522,7.531
1,15,7.161,7.282
1,20,7.147,7.243
1,25,7.204,7.205
1,30,7.013,7.045
1,35,6.885,6.950
1,40,6.917,6.907
1,45,6.627,6.822
1,50,6.733,6.731
1,55,6.664,6.653
1,60,6.568,6.632
1,65,6.567,6.603
1,70,6.474,6.584
1,75,6.629,6.579
1,80,6.453,6.558
1,85,6.622,6.524
1,90,6.376,6.488
1,95,6.412,6.445
1,100,6.513,6.429
1,105,6.555,6.421
1,110,6.278,6.391
1,115,6.139,6.392
1,120,6.264,6.378
1,125,6.470,6.355
1,130,6.282,6.342
1,135,6.243,6.323
1,140,6.028,6.308
1,145,6.219,6.308
1,150,6.199,6.285
1,155,6.141,6.296
1,160,6.087,6.275
1,165,6.093,6.280
1,170,6.047,6.258
2,175,6.261,6.241
2,180,6.112,6.250
2,185,6.145,6.245
2,190,6.090,6.249
2,195,6.000,6.252
2,200,6.032,6.223
2,205,6.024,6.220
2,210,5.893,6.210
2,215,5.779,6.170
2,220,5.880,6.189
2,225,5.893,6.215
2,230,5.845,6.171
2,235,5.868,6.161
2,240,5.831,6.171
2,245,5.958,6.144
2,250,6.021,6.132
2,255,5.635,6.105
2,260,5.882,6.107
2,265,6.024,6.089
2,270,5.734,6.096
2,275,5.925,6.094
2,280,5.812,6.099
2,285,5.828,6.090
2,290,5.809,6.072
2,295,5.900,6.071
2,300,5.852,6.051
2,305,5.895,6.052
2,310,5.899,6.097
2,315,5.809,6.064
2,320,5.810,6.054
2,325,5.703,6.041
2,330,5.734,6.048
2,335,5.525,6.025
2,340,5.800,6.010
2,345,5.688,6.011
3,350,5.726,6.019
3,355,5.726,6.011
3,360,5.574,6.021
3,365,5.639,6.008
3,370,5.612,5.986
3,375,5.685,5.976
3,380,5.580,6.006
3,385,5.562,6.015
3,390,5.794,5.990
3,395,5.571,5.994
3,400,5.679,5.977
3,405,5.657,5.996
3,410,5.779,5.984
3,415,5.743,6.015
3,420,5.514,5.991
3,425,5.501,5.989
3,430,5.499,5.974
3,435,5.485,5.956
3,440,5.696,5.979
3,445,5.490,5.973
3,450,5.584,5.945
3,455,5.330,5.943
3,460,5.416,5.955
3,465,5.450,5.927
3,470,5.140,5.928
3,475,5.473,5.928
3,480,5.593,5.900
3,485,5.448,5.910
3,490,5.614,5.983
3,495,5.475,5.907
3,500,5.514,5.909
3,505,5.326,5.914
3,510,5.346,5.901
3,515,5.400,5.916
3,520,5.222,5.905
